# x rho u P T
1.3266583229e-01 6.0192879094e+02 9.9804194638e+00 8.0978678544e+06 3.0446557026e+02
1.3391739675e-01 6.0110070662e+02 1.0397712639e+01 8.0217825804e+06 3.0423056835e+02
1.3516896120e-01 6.0026891999e+02 1.0816515454e+01 7.9456973075e+06 3.0399441325e+02
1.3642052566e-01 5.9943339120e+02 1.1236842643e+01 7.8696120357e+06 3.0375709181e+02
1.3767209011e-01 5.9901421085e+02 1.1447582547e+01 7.8315694002e+06 3.0363798955e+02
1.3892365457e-01 5.9817299255e+02 1.1870224452e+01 7.7554841300e+06 3.0339889345e+02
1.4017521902e-01 5.9732792934e+02 1.2294428633e+01 7.6793988610e+06 3.0315859709e+02
1.4142678348e-01 5.9647897880e+02 1.2720210696e+01 7.6033135932e+06 3.0291708646e+02
1.4267834793e-01 5.9562609779e+02 1.3147586508e+01 7.5272283266e+06 3.0267434729e+02
1.4392991239e-01 5.9519816965e+02 1.3361877102e+01 7.4891856937e+06 3.0255251247e+02
1.4518147685e-01 5.9433931026e+02 1.3791673878e+01 7.4131004290e+06 3.0230790313e+02
1.4643304130e-01 5.9347640898e+02 1.4223105260e+01 7.3370151655e+06 3.0206202839e+02
1.4768460576e-01 5.9260941980e+02 1.4656188086e+01 7.2609299032e+06 3.0181487299e+02
1.4893617021e-01 5.9217437764e+02 1.4873354131e+01 7.2228872726e+06 3.0169081020e+02
1.5018773467e-01 5.9130116846e+02 1.5308946330e+01 7.1468020124e+06 3.0144170459e+02
1.5143929912e-01 5.9042375253e+02 1.5746233357e+01 7.0707167535e+06 3.0119127891e+02
1.5269086358e-01 5.8954208073e+02 1.6185233102e+01 6.9946314960e+06 3.0093951687e+02
1.5394242804e-01 5.8909963327e+02 1.6405380922e+01 6.9565888678e+06 3.0081312953e+02
1.5519399249e-01 5.8821148349e+02 1.6846983991e+01 6.8805036124e+06 3.0055933165e+02
1.5644555695e-01 5.8731895084e+02 1.7290345916e+01 6.8044183585e+06 3.0030415520e+02
1.5769712140e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.5894868586e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.6020025031e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.6145181477e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.6270337922e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.6395494368e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
