# x rho u P T
1.8796992481e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
1.9047619048e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
1.9298245614e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
1.9548872180e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
1.9799498747e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.0050125313e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.0300751880e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.0551378446e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.0802005013e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.1052631579e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.1303258145e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.1553884712e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.1804511278e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.2055137845e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.2305764411e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.2556390977e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.2807017544e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.3057644110e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.3308270677e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.3558897243e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.3809523810e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.4060150376e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.4310776942e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.4561403509e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.4812030075e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.5062656642e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.5313283208e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.5563909774e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.5814536341e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.6065162907e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.6315789474e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.6566416040e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.6817042607e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.7067669173e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.7318295739e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.7568922306e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.7819548872e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
